,Groupe d'orga-,,Nom scientifique,Nom français,,Liste,,,Priorité,
,nismes,,,,,rouge,,,en Suisse,
Reptiles,,,Zamenis longissimus,Couleuvre d’Esculape,EN,,,3,,
Chiroptères,,,Barbastella barbastellus,Barbastelle d'Europe,EN,,,3,,
Chiroptères,,,Eptesicus nilssonii,Sérotine boréale,VU,,,1,,
Chiroptères,,,Eptesicus serotinus,Sérotine commune,VU,,,1,,
Chiroptères,,,Myotis alcathoe,Murin d'Alcathoé,VU,,,4,,
Chiroptères,,,Myotis bechsteinii,Murin de Bechstein,VU,,,4,,
Chiroptères,,,Myotis brandtii,Murin de Brandt,VU,,,1,,
Chiroptères,,,Myotis myotis,Grand murin,VU,,,1,,
Chiroptères,,,Plecotus auritus,Oreillard brun,VU,,,1,,
Chiroptères,,,Plecotus macrobullaris,Oreillard alpin,EN,,,1,,
Chiroptères,,,Rhinolophus hipposideros,Petit rhinolophe,EN,,,1,,
Oiseaux,,,Bonasa bonasia,Gélinotte des bois,NT,,,1,,
Oiseaux,,,Caprimulgus europaeus,Engoulevent d'Europe,EN,,,1,,
Oiseaux,,,Lyrurus tetrix,Tétras lyre,NT,,,1,,
Oiseaux,,,Phoenicurus phoenicurus,Rougequeue à front blanc,NT,,,1,,
Oiseaux,,,Picus canus,Pic cendré,VU,,,1,,
Oiseaux,,,Scolopax rusticola,Bécasse des bois,VU,,,1,,
Oiseaux,,,Tetrao urogallus,Grand tétras,EN,,,1,,
